Company	Major	Grade	Award	Semester	Need/No Need	Rexburg	Rigby	Idaho Falls	IF	Sugar City	St Anthony	Ammon	Blackfoot	Pocatello	Driggs	Refs	Location	Paid/Unpaid	International?	Married?	Scheduled hours			Notes				
			500	WI22	No Need												Outside	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in UT with no need, but travel	20	 in UT	33	39
			625	WI22	No Need												Outside	Paid		Yes	working 20 	20	31	Married with child working 20 hrs/wk  paid in MT with no need, but travel 	20	#VALUE!	43	8
			2,250.00	WI22	Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Washingotn DC supporting 2 households with travel expenses and high cost of living	40	 in Washingotn DC supporting 2 households	31	72
			500	WI22	Need			Idaho Falls									Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Idaho Falls travel expense	20	#VALUE!	32	#VALUE!
Tueller Counseling	Social Work (UG17-BS)	4th year undergraduate/senior	750	WI22	Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rexburg with travel expense	20	 in Rexburg	33	44
			1,750.00	WI22	Need												Outside	Unpaid	Yes	Yes	working 40 	23	34	Married international working 40 hrs/wk unpaid in UT with travel expense	40	 in UT	47	53
			1,000.00	WI22	Need							Ammon					Eastern Idaho	Paid	Yes	Yes	working 20 	37	48	Married with children international working 20 hrs/wk paid in Ammon with travel expense	20	#VALUE!	59	8
			1,000.00	WI22	Need												Outside	Unpaid			working 30 	8	19	Single working 30 hrs/wk unpaid in UT with travel expense	30	 in UT	32	38
			375	WI22	No Need												Outside	Paid	Yes		working 30 	22	33	Single international working 30 hrs/wk paid in UT with no need, but travel expense	30	 in UT	44	50
			250	WI22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Boise with no need, but travel expense	40	 in Boise	31	40
			184	WI22	No Need	Rexburg											Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Rexburg with no need	20	 in Rexburg	32	43
			500	WI22	Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rexburg 	20	#VALUE!	33	#VALUE!
			250	WI22	No Need			Idaho Falls									Eastern Idaho	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Idaho Falls with no need, but travel expense	40	 in Idaho Falls	31	46
			375	WI22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in TX with no need, but travel expense	40	 in TX	30	36
			125	WI22	Need				IF								Eastern Idaho	Paid			#VALUE!	#VALUE!	#VALUE!	Adjusting as stu is not being paid for internship. The difference between original award and current situation is added	#VALUE!	#VALUE!	#VALUE!	#VALUE!
			184	WI22	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 40 	29	40	Stu is a married US citizen working 40 hrs/wk a week paid in Rexburg. No need.	40	#VALUE!	58	#VALUE!
			250	WI22	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 20 	29	40	Stu is a married US citizen working 20 hrs/wk a week paid in Rexburg. No need. 	20	#VALUE!	58	#VALUE!
			1,000.00	WI22	Need												Outside	Paid	Yes	Yes	working 20 	34	45	Stu is married and international working 20 hrs/wk a week paid in SLC. They do have a transportation expense. They do have need.	20	#VALUE!	63	#VALUE!
			250	WI22	Need	Rexburg											Eastern Idaho	Unpaid			working 20 	28	39	Stu is a single US citizen working 20 hrs/wk a week unpaid in Rexburg. They do have financial need.	20	#VALUE!	59	#VALUE!
			184	WI22	No Need												Outside	Unpaid			working 20 	27	38	Stu is a Single US citize working 20 hrs/wk a week unpaid. They are living with family. They do have a transportation expense. No need.	20	#VALUE!	#VALUE!	75
			500	WI22	Need												Outside	Unpaid		Yes	working 20 	34	45	This stu is a married US citizen working 20 hrs/wk a week unpaid. They do have financial need.	20	#VALUE!	#VALUE!	#VALUE!
			375	WI22	No Need	Rexburg											Eastern Idaho	Unpaid	Yes	Yes	#VALUE!	#VALUE!	58	The stu is a married international student that works 20 hrs/wk a week unpaid in Rexburg. No need. 	#VALUE!	#VALUE!	78	#VALUE!
			184	WI22	No Need				IF								Eastern Idaho	Unpaid		Yes	#VALUE!	#VALUE!	76	Stu is a married US citize living with parents in California. They work 20 hrs/wk a week unpaid. No need but they do have a travel expense.	#VALUE!	#VALUE!	47	34
			250	WI22	Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 35 	29	40	Stu is a Married US citizen working 35 hrs/wk a week unpaid. They are working in Rexburg. They do have financial need. 	35	#VALUE!	78	#VALUE!
			1,000.00	WI22	Need												Outside	Paid		Yes	working 40 	29	40	Stu is a married US citizen working 40 hrs/wk a week paid in Iowa. They do have financial need as well as travel expense. 	40	#VALUE!	58	#VALUE!
			500	WI22	Need												Outside	Paid		Yes	working Remote. They do have need. Working 30 	53	99	Stu is Married with one child. US Citizen. They are working Remote. They do have need. Working 30 hrs/wk a week paid.	30	#VALUE!	#VALUE!	15
			750	WI22	Need												Outside	Paid	Yes		working 35 	49	60	Stu is a Single International Student. They are working 35 hrs/wk a week paid in Utah. They do have a travel expense. They do have financial need.	35	#VALUE!	78	#VALUE!
			250	WI22	No Need						St Anthony						Eastern Idaho	Unpaid		Yes	working 20 	29	40	Stu is a married US citizen working 20 hrs/wk a week unpaid in St Anthony. No need. 	20	#VALUE!	60	#VALUE!
			750	WI22	Need												Outside	Paid		Yes	working 20 	29	40	Stu is a Married US citizen working 20 hrs/wk a week paid in Provo. They do have financial need. They do have a transportation expense. 	20	#VALUE!	58	#VALUE!
			1,500.00	WI22	Need												Outside	Unpaid		Yes	working 40+ 	29	41	Stu is a Married US citizen working 40+ hrs/wk a week unpaid in Utah. They do have financial need. They do have a travel expense as well as an exam expense in order in work in her field. 	0+ 	#VALUE!	61	#VALUE!
			500	WI22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in MO with travel expence, and no need	40	 in MO	31	37
			500	WI22	Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 25 	9	20	Married working 25 hrs/wk unpaid in Rexburg 	25	#VALUE!	33	#VALUE!
			184	WI22	No Need												Outside	Paid		Yes	working 20 	9	20	Married working 20 hrs/wk upaid in CA living with family with travel expense and no need	20	 in CA living	32	45
			184	WI22	No Need												Outside	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid remote with no need	20	#VALUE!	#VALUE!	39
			250	WI22	Need												Outside	Paid		Yes	working 40 	20	31	Married with child working 40 hrs/wk paid remote with no  need	40	#VALUE!	#VALUE!	8
			250	WI22	Need	Rexburg											Eastern Idaho	Paid	Yes		working 20 	22	33	Single international working 20 hrs/wk paid in Rexburg	20	#VALUE!	44	#VALUE!
			1,250.00	WI22	Need												Outside	Paid	Yes	Yes	working 40 	37	48	Married with children international working 40 hrs/wk paid in MA with travel expense with high cost of living	40	#VALUE!	59	8
			184	WI22	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 20 	9	20	Married working 20 hrs/wk paid in Rexburg with no need 	20	 in Rexburg	31	42
			250	WI22	Need			Idaho Falls									Eastern Idaho	Paid			working 40 	8	19	Single working 40 hrs/wk paid in Idaho Falls with travel expense	40	 in Idaho Falls	30	45
			250	WI22	No Need												Outside	Paid		Yes	working 32 	9	20	Married working 32 hrs/wk paid in Meridian Idaho with no need but travel expense	32	 in Meridian Idaho	31	49
			184	WI22	No Need												Outside	Paid			working 25 	8	19	Single working 25 hrs/wk paid in UT living with family and has no need	25	 in UT living	30	43
			250	WI22	No Need			Idaho Falls									Eastern Idaho	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Idaho Falls with no need, but travel expense	40	 in Idaho Falls	31	46
			750	WI22	Need												Outside	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid remote with travel expense	20	#VALUE!	#VALUE!	40
			750	WI22	Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in AZ with travel expense	40	 in AZ	30	36
			375	WI22	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20 	20	31	Married with child working 20 hrs/wk unpaid in Rexburg with no need	20	#VALUE!	44	8
Family Search	Data Science (UG19-BS)	4th year undergraduate/senior	1,000.00	WI22	Need												Outside	Paid	Yes	Yes	working 20 	23	34	Married international working 20 hrs/wk paid in SLC with travel expense	20	 in SLC	45	52
			750	WI22	Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 22 	9	20	Married working 22 hrs/wk unpaid in Rexburg with travel expense	22	 in Rexburg	33	44
			375	WI22	No Need												Outside	Paid		Yes	working 20 	9	20	Married working 20 hrs/wk paid in CA with no need, but travel expense	20	 in CA	31	37
			184	WI22	No Need			Idaho Falls									Eastern Idaho	Paid			working 40 	8	19	Single working 40 hrs/wk paid in Idaho Falls with no need, but travel expense	40	 in Idaho Falls	30	45
			184	WI22	No Need	Rexburg											Eastern Idaho	Paid			working 25 	8	19	Single working 25 hrs/wk paid in Rexburg with no need 	25	 in Rexburg	30	41
			375	WI22	No Need			Idaho Falls									Eastern Idaho	Paid		Yes	working 60 	20	31	Married with child working 60 hrs/wk paid in Idaho Falls with no need, but travel expense	60	#VALUE!	42	8
			375	WI22	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in Moscow ID with no need, but travel expense	40	 in Moscow ID	44	57
			250	WI22	No Need												Outside	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid remote with no need 	20	#VALUE!	#VALUE!	40
			500	WI22	Need												Outside	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Roberts with travel expense	20	 in Roberts	32	43
			250	WI22	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rexburg with no need	20	 in Rexburg	33	44
			250	WI22	No Need												Outside	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Sugar with no need	20	 in Sugar	33	42
			184	WI22	No Need												Outside	Paid			working 35 	8	19	Single working 35 hrs/wk paid in Boise living with family and have travel, but no need	35	 in Boise living	30	46
			184	WI22	No Need	Rexburg											Eastern Idaho	Unpaid			working 25 	8	19	Single working 25 hrs/wk unpaid in Rexburg with no need	25	 in Rexburg	32	43
			184	WI22	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 35 	9	20	Married working 35 hrs/wk paid in Rexburg with no need	35	 in Rexburg	31	42
			375	WI22	No Need												Outside	Paid	Yes		working 30 	22	33	Single international working 30 hrs/wk paid in UT with no need, but travel 	30	 in UT	44	50
			184	WI22	No Need	Rexburg											Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Rexburg with no need	20	 in Rexburg	32	43
			250	WI22	No Need												Outside	Paid		Yes	working 4 	9	19	Married working 4 hrs/wk paid in Thorinn with no need	4	 in Thorinn	30	41
			184	WI22	No Need												Outside	Paid	Yes	Yes	working 22 	34	45	Married with child international working 22 hrs/wk paid in UT living with family with no need, but travel 	22	#VALUE!	56	8
			250	WI22	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	#VALUE!	#VALUE!	20	Married wirking 21 hrs/wk unpaid in Rexburg with no need	#VALUE!	 in Rexburg	33	44
			1,000.00	WI22	Need												Outside	Paid	Yes	Yes	working 50 	23	34	Married international working 50 hrs/wk paid in UT supporting 2 households with travel expense	50	 in UT supporting 2 households	45	75
			375	WI22	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 20 	20	31	Married with child working 20 hrs/wk paid in Rexburg with no need, but with travel	20	#VALUE!	42	8
			500	WI22	No Need												Outside	Paid		Yes	#VALUE!	#VALUE!	31	Married with child wirking 40 hrs/wk paid in Boise with no need, but travel expense	#VALUE!	#VALUE!	42	8
			184	WI22	No Need			Idaho Falls									Eastern Idaho	Paid			working 25 	8	19	Single working 25 hrs/wk paid in Idaho Falls with no need, but travel expense	25	 in Idaho Falls	30	45
			500	WI22	Need		Rigby										Eastern Idaho	Unpaid			working 24 	8	19	Single working 24 hrs/wk unpaid in Rigby with travel expense	24	 in Rigby	32	41
Alturas Homes	Virtual Design & Const (UG19-BS)	3rd year undergraduate/junior	250	WI22	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in Eagle ID with no need, but travel expense	40	 in Eagle ID	44	56
			500	WI22	Need		Rigby										Eastern Idaho	Paid		Yes	working 20 	9	20	Married working 20 hrs/wk paid in Rigby with travel expense	20	 in Rigby	31	40
			375	WI22	No Need							Ammon					Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Ammon with no need, but travel expense	20	 in Ammon	33	42
			184	WI22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid remote with no need	40	#VALUE!	#VALUE!	38
			750	WI22	Need												Outside	Unpaid			working 30 	8	19	Single working 30 hrs/wk unpaid in AZ with travel expense	30	 in AZ	32	38
			500	WI22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in NC with no need, but travel expenses	40	 in NC	31	37
			500	WI22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in NC with no need, but travel	40	 in NC	31	37
			2,000.00	WI22	Need												Outside	Unpaid		Yes	working 20 	20	31	Married with child working 20 hrs/wk unpaid in TX with travel expense	20	#VALUE!	44	8
			500	WI22	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 45 	9	20	Married working 45 hrs/wk unpaid in Rexburg with no need with an exam expense	45	 in Rexburg	33	44
			1,000.00	WI22	Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in NM with travel expense	40	 in NM	31	37
			750	WI22	Need	Rexburg											Eastern Idaho	Unpaid	Yes		working 25 	22	33	Single international working 25 hrs/wk unpaid in Rexburg with travel expense	25	 in Rexburg	46	57
			250	WI22	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rexburg with no need	20	 in Rexburg	33	44
			250	WI22	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 25 	9	20	married working 25 hrs/wk unpaid in Rexburg with no need	25	 in Rexburg	33	44
			500	WI22	Need												Outside	Unpaid			working 35 	8	19	Single working 35 hrs/wk unpaid remote 	35	#VALUE!	#VALUE!	#VALUE!
			184	WI22	No Need									Pocatello			Eastern Idaho	Paid			working 40 	8	19	Single working 40 hrs/wk paid in Pocatello with no need but travel expense	40	 in Pocatello	30	43
			375	WI22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in UT eith no need, but travel expense	40	#VALUE!	30	#VALUE!
			184	WI22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in UT with no need, but travel expense 	40	 in UT	30	36
			184	WI22	Need												Outside	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk in CA unpaid living with family with no  need, but travel expense	20	 in CA unpaid living	26	46
			1,000.00	WI22	Need												Outside	Unpaid		Yes	working 40 	9	20	Married working 40 hrs/wk unpaid in CA with taravel expenses	40	 in CA	33	39
			500	WI22	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in MN with no need, but travel	40	 in MN	44	50
			250	WI22	Need												Outside	Paid			working 25 	8	19	Single working 25 hrs/wk paid in Roberts ID with travel expense	25	 in Roberts ID	30	44
EIRMC	Social Work (UG20-BS)	4th year undergraduate/senior	750	WI22	Need			Idaho Falls									Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Idaho Falls with travel expense	20	 in Idaho Falls	33	48
			250	WI22	No Need			Idaho Falls									Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Idaho falls with no need 	20	 in Idaho falls	33	48
			500	WI22	Need			Idaho Falls									Eastern Idaho	Paid		Yes	working 20 	9	20	Married working 20 hrs/wk paid in Idaho Falls with travel expense	20	 in Idaho Falls	31	46
			250	WI22	No Need			Idaho Falls									Eastern Idaho	Paid		Yes	working 50 	9	20	Married working 50 hrs/wk paid in Idaho Falls with no need	50	 in Idaho Falls	31	46
			184	WI22	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 37 	9	20	Married working 37 hrs/wk paid in Rexburg wiht no need, but travel expense	37	#VALUE!	31	#VALUE!
			500	WI22	Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rexburg 	20	#VALUE!	33	#VALUE!
			184	WI22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid remote with no need	40	#VALUE!	#VALUE!	37
			1,500.00	WI22	Need												Outside	Paid	Yes	Yes	working 40 	23	34	Married international working 40 hrs/wk paid in UT with travel expense and supporting 3 households	40	 in UT	45	51
			184	WI22	No Need												Outside	Unpaid			working 32 	8	19	Single working 32 hrs/wk unpaid in CO with no need with travel expense	32	 in CO	32	38
			250	WI22	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20-22 	9	23	Married working 20-22 hrs/wk unpaid in Rexburg with no need	22	 in Rexburg	36	47
			375	WI22	No Need												Outside	Paid		Yes	working 30 	23	34	Married with children working 30 hrs/wk paid in Twin Falls with no need, but travel expense	30	#VALUE!	45	8
			184	WI22	No Need	Rexburg											Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Rexburg with no need	20	 in Rexburg	32	43
			184	WI22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in OR living with family with no need, but travel expense	40	 in OR living	30	43
			1,500.00	WI22	Need												Outside	Paid		Yes	working 40 	20	31	Married with child working 40 hrs/wk paid in Quincy CA with travel and medium cost housing	40	#VALUE!	42	8
			250	WI22	Need	Rexburg											Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid  in Rexburg	20	#VALUE!	33	#VALUE!
			375	WI22	No Need												Outside	Paid			working 25 	8	19	Single working 25 hrs/wk paid in UT with no need, but travel expense and licence expense	25	 in UT	30	36
			375	WI22	No Need												Outside	Paid		Yes	working 24 	9	20	Married working 24 hrs/wk paid in Boise with no need, but travel expense	24	 in Boise	31	40
			184	WI22	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Rexburg with no need	40	 in Rexburg	31	42
			250	WI22	No Need												Outside	Unpaid		Yes	working 25 	23	34	Married with children working 25 hrs/wk unpaid in CO living with family, with no need but travel expense	25	#VALUE!	47	8
			375	WI22	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in UT with no need, but travel expense	40	 in UT	44	50
			750	WI22	No Need			Idaho Falls									Eastern Idaho	Unpaid		Yes	working 40 	38	49	Married with children witnernational working 40 hrs/wk unpaid in Idaho falls with no need with travel expense	40	#VALUE!	62	8
			184	WI22	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Rexburg with no need	40	 in Rexburg	31	42
			250	WI22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in Ut with no need, but travel expense	40	 in Ut	30	36
			375	WI22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in IL with no need, but travel expense	40	 in IL	30	36
			375	WI22	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in UT with no need, but travel expense	40	 in UT	44	50
			500	WI22	No Need												Outside	Paid		Yes	working 40 	20	31	Married with child working 40 hrs/wk paid in AZ with no need, but travel expense	40	#VALUE!	42	8
			250	WI22	No Need			Idaho Falls									Eastern Idaho	Paid		Yes	working 30 	9	20	Married working 30 hrs/wk paid in Idaho Falls with no need, but travel expense	30	 in Idaho Falls	31	46
			250	WI22	Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rexburg 	20	#VALUE!	33	#VALUE!
			375	WI22	No Need												Outside	Paid			working 50 	8	19	Single working 50 hrs/wk paid in WA with no need, but travel expense	50	 in WA	30	36
			500	WI22	No Need		Rigby										Eastern Idaho	Unpaid		Yes	working 30 	9	20	Married working 30 hrs/wk unpaid in Rigby with no need, but travel expense	30	 in Rigby	33	42
			750	WI22	Need		Rigby										Eastern Idaho	Unpaid			working 35 	8	19	Single working 35 hrs/wk unpaid in Rigby with travel expense	35	 in Rigby	32	41
			184	WI22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid remote with no need	40	#VALUE!	#VALUE!	38
			500	WI22	Need												Outside	Paid		Yes	working 30 	9	20	Married working 30 hrs/wk paid in Presinn ID with travel expense	30	 in Presinn ID	31	45
			250	WI22	No Need							Ammon					Eastern Idaho	Paid		Yes	working 20 	9	20	Married working 20 hrs/wk paid in Ammon with no need, but travel expense	20	 in Ammon	31	40
			375	WI22	No Need			Idaho Falls									Eastern Idaho	Unpaid		Yes	working 23 	9	20	Married working 23 hrs/wk unpaid in Idaho Falls with no need, ut travel expense	23	 in Idaho Falls	33	48
			500	WI22	No Need			Idaho Falls									Eastern Idaho	Unpaid		Yes	working 20 	23	34	Married with children working 20 hrs/wk unpaid in Idaho Falls with travel expense and no need	20	#VALUE!	47	8
SP Marketing	Business Analytics (UG20-BS)	4th year undergraduate/senior	375	WI22	No Need												Outside	Paid	Yes	Yes	working 40 	37	48	Married with children international working 40 hrs/wk paid in UT with no need	40	#VALUE!	59	8
CBI Offroad	Business Supply Chain (UG19-BS)	4th year undergraduate/senior	375	WI22	No Need			Idaho Falls									Eastern Idaho	Paid	Yes	Yes	working 40 	23	34	Married international working 40 hrs/wk paid in Idaho Falls with no need, but travel expense	40	 in Idaho Falls	45	60
Extra Space Storage	Business Analytics (UG20-BS)	4th year undergraduate/senior	625	WI22	No Need												Outside	Paid	Yes	Yes	working 20 	37	48	Married with children international working 20 hrs/wk paid in UT with no need, but travel expense	20	#VALUE!	59	8
			750	WI22	Need			Idaho Falls									Eastern Idaho	Unpaid			working 47 	8	19	Single working 47 hrs/wk unpaid in Idaho Falls with travel expense	47	 in Idaho Falls	32	47
			500	WI22	Need	Rexburg		Idaho Falls									Eastern Idaho	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Rexburg/ Idaho Falls with travel expense	40	 in Rexburg/ Idaho Falls	31	55
			250	WI22	No Need			Idaho Falls									Eastern Idaho	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Idaho Falls with no need, but travel expense	40	 in Idaho Falls	31	46
			184	WI22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in TX living with family, and no need ,but travel expense	40	 in TX living	31	44
			250	WI22	No Need			Idaho Falls									Eastern Idaho	Paid	Yes		working 20 	22	33	Single international working 20 hrs/wk paid in Idaho Falls with no need, but travel expense	20	 in Idaho Falls	44	59
			250	WI22	Need	Rexburg											Eastern Idaho	Paid		Yes	working 30 	9	20	Married working 30 hrs/wk paid in Rexburg 	30	#VALUE!	31	#VALUE!
			250	WI22	No Need	Rexburg											Eastern Idaho	Paid	Yes	Yes	working 22 	23	34	Married international working 22 hrs/wk paid in Rexburg with no need	22	 in Rexburg	45	56
			184	WI22	No Need			Idaho Falls									Eastern Idaho	Paid			working 25 	8	19	Single working 25 hrs/wk paid in Idaho Falls with no need, but travel expense	25	 in Idaho Falls	30	45
			375	WI22	No Need												Outside	Paid		Yes	working 20 	20	31	Married with child working 20 hrs/wk paid remote with no need	20	#VALUE!	#VALUE!	8
			500	WI22	No Need			Idaho Falls									Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid working 40 + hrs/wk unpaid in Idaho Falls with no need, but travel expense	20	 in Idaho Falls	60	75
			500	WI22	No Need												Outside	Paid	Yes	Yes	working 40 	23	34	Married international working 40 hrs/wk paid in UT with no need, but ravel expense	40	 in UT	45	51
			500	WI22	Need												Outside	Paid	Yes		working 27 	22	33	Single international working 27 hrs/wk paid remote 	27	#VALUE!	#VALUE!	#VALUE!
			375	WI22	No Need	Rexburg											Eastern Idaho	Paid	Yes	Yes	working 20 	34	45	Married with child international working 20 hrs/wk paid in Rexburg with no need	20	#VALUE!	56	8
			250	WI22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in UT with no need, but travel expense	40	 in UT	30	36
			500	WI22	Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 24 	9	20	Married working 24 hrs/wk unpaid in Rexburg 	24	#VALUE!	33	#VALUE!
			184	WI22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in Presinn ID with no need, but travel expense	40	 in Presinn ID	30	44
			250	WI22	Need			Idaho Falls									Eastern Idaho	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Idaho Falls 	40	#VALUE!	31	#VALUE!
			750	WI22	No Need												Outside	Paid		Yes	working 20 	9	20	Married working 20 hrs/wk paid in WY with travel expense, but no need	20	 in WY	31	37
			1,000.00	WI22	Need		Rigby										Eastern Idaho	Unpaid		Yes	working 32 	9	20	Married working 32 hrs/wk a week unpaid. Has travel expense exceeding 250. Working in Rigby. Has Need.	32	#VALUE!	84	#VALUE!
			375	WI22	No Need												Outside	Paid	Yes	Yes	working 20 	34	45	Married with child international working 20 hrs/wk paid with no need	20	#VALUE!	#VALUE!	8
			250	WI22	No Need			Idaho Falls									Eastern Idaho	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Idaho Falls with no need with travel expense	40	 in Idaho Falls	31	46
			750	SP22	Need												Outside	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in UT with travel expense	20	 in UT	32	38
			1,500.00	SP22	Need												Outside	Unpaid		Yes	working 45 	9	20	Married working 45 hrs/wk unpaid in UT with travel expense and and exam cost	45	 in UT	33	39
			500	SP22	Need												Outside	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in St. Anthony with travel expense	20	 in St. Anthony	32	47
			500	SP22	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in TX with no need, but travel expense	40	 in TX	44	50
			500	SP22	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in AZ with no need, but travel expense	40	 in AZ	44	50
			750	SP22	Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in UT with travel exense	40	 in UT	44	50
			250	SP22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in UT with no need, but travel expense	40	 in UT	30	36
			2,000.00	SP22	Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Chicago with travel expense	40	 in Chicago	31	42
			500	SP22	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in AR with no need, but travel expenses	40	 in AR	44	50
			750	SP22	Need			Idaho Falls									Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Idaho Falls with travel expense	20	 in Idaho Falls	33	48
			250	SP22	Need		Rigby										Eastern Idaho	Paid			working 20 	8	19	Single working 20 hrs/wk paid in Rigby with travel 	20	 in Rigby	30	39
			250	SP22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Swan Valley with no need, but travel expense	40	 in Swan Valley	31	46
			1,125.00	SP22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in AZ with no need, but travel expense with high cost of living	40	 in AZ	31	37
			375	SP22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in NC with no need, but travel expense	40	 in NC	30	36
			375	SP22	No Need												Outside	Paid			working 20 	8	19	Single working 20 hrs/wk paid in UT with no need, but travel expense	20	 in UT	30	36
			1,250.00	SP22	Need												Outside	Unpaid			working 40 	8	19	Single working 40 hrs/wk unpaid in NY with travel expense	40	 in NY	32	38
